strain,isolate,well,growth.rate,GFP.rate,other.rate,run
EV106,C,B2,0.968019439983728,369.7231048570132,NA,43
EV106,C,B3,1.012641360836957,353.4604519774026,NA,43
EV106,C,B4,0.9852127983600498,330.94098883572565,NA,43
EV106,C,B5,1.032040977756802,288.55140186915884,NA,43
EV106,C,B6,0.9576281642587358,354.8809212248103,NA,43
EV109,A,F1,1.0622983723147437,404.6570295919593,NA,43
EV109,A,F2,0.8978844640786576,447.94964862151534,NA,43
EV109,A,F3,0.8842996069485265,489.2320770756607,NA,43
EV109,A,F4,0.8422916215513275,496.4322598817014,NA,43
EV109,A,F5,0.957878811449457,466.61807580175093,NA,43
EV109,A,F6,0.8368506682889842,537.66516274573,NA,43
EV109,B,F10,3.2665083035233535,278.07476529590645,NA,43
EV109,B,F11,0.8971262384845694,742.707052643343,NA,43
EV109,B,F12,0.8948728821021575,467.55381604696765,NA,43
EV109,B,F7,0.9364100620982487,505.07588702382054,NA,43
EV109,B,F8,0.9366487378618246,341.5379192856723,NA,43
EV109,B,F9,1.138078043346256,394.8229978365339,NA,43
EV109,C,E10,1.184504655167263,637.8751585176833,NA,43
EV109,C,E11,1.5863264852664618,962.4069180879162,NA,43
EV109,C,E12,1.5620795439413642,1041.9064748201465,NA,43
EV109,C,E7,1.2512363108361466,373.3419307295503,NA,43
EV109,C,E8,1.1708983671677249,482.96274906150734,NA,43
EV109,C,E9,1.2826278398370703,514.3943126627719,NA,43
EV112,A,B10,1.0947063474640397,448.1719302843663,NA,43
EV112,A,B11,1.1228742235476163,458.10775973188885,NA,43
EV112,A,B12,1.186026827389346,450.7326932794339,NA,43
EV112,A,B7,1.1516847455184598,826.314260819052,NA,43
EV112,A,B8,1.1139191804565303,337.08417545201286,NA,43
EV112,A,B9,1.136505916680469,678.6670633739948,NA,43
EV112,B,C1,1.1707131604624594,819.8640483383697,NA,43
EV112,B,C2,1.0710523463826984,410.77578394054734,NA,43
EV112,B,C3,1.223080367846018,339.35564915392,NA,43
EV112,B,C4,1.0805532107250237,348.9262652049857,NA,43
EV112,B,C5,1.1499904415220068,385.13513513513504,NA,43
EV112,B,C6,1.1749143869229828,428.13867384718947,NA,43
EV112,C,C10,1.3653587296994738,411.83464422900937,NA,43
